var,Short name,=
CD40+ median  :in:  CD40+ Non-Classical Monocytes,MFI CD40 in CD40+ Non-Classical Monocytes,
CD40+ median  :in:  CD40+ Non-Switched Memory B Cells,MFI CD40 in CD40+ Non-Switched Memory B Cells,
CD57+ median  :in:  CD57+ CD16+ NK Cells,MFI CD57 in CD57+ CD16+ NK Cells,
CD57+ median  :in:  CD57+ CD27+ CD8+ T Cells,MFI CD57 in CD57+ CD27+ CD8+ T Cells,
CD57+ median  :in:  CD57+ Double Negative T Cells,MFI CD57 in CD57+ DN T Cells,
CD80+ median  :in:  CD80+ B Cells,MFI CD80 in CD80+ B Cells,
CD80+ median  :in:  CD80+ CD21- CD11c+ B Cells,MFI CD80 in CD80+ CD11c+ CD21- B Cells,
CD80+ median  :in:  CD80+ CD21- B Cells,MFI CD80 in CD80+ CD21- B Cells,
CD80+ median  :in:  CD80+ CD21- CD27+ B Cells,MFI CD80 in CD80+ CD21- CD27+ B Cells,
CD80+ median  :in:  CD80+ Double Negative B Cells,MFI CD80 in CD80+ DN B Cells,
CD80+ median  :in:  CD80+ CD11c- CD21+ Double Negative B Cells,MFI CD80 in CD80+ DN1 B Cells,
CD80+ median  :in:  CD80+ CD11c+ CD21- Double Negative B Cells,MFI CD80 in CD80+ DN2 B Cells,
CD80+ median  :in:  CD80+ Naive B Cells,MFI CD80 in CD80+ Naive B Cells,
CD80+ median  :in:  CD80+ Switched Memory B Cells,MFI CD80 in CD80+ Switched Memory B Cells,
CD94+ median  :in:  CD94+ CD16+ NK Cells,MFI CD94 in CD94+ CD16+ NK Cells,
CD94+ median  :in:  CD94+ CD27- CD4+ T Cells,MFI CD94 in CD94+ CD27- CD4+ T Cells,
CD94+ median  :in:  CD94+ NK Cells,MFI CD94 in CD94+ NK Cells,
CD94+ median  :in:  CD94+ NKT Cells,MFI CD94 in CD94+ NKT Cells,
HLA-DR+ median  :in:  HLA-DR+ CD27- CD4+ T Cells,MFI HLA-DR in HLA-DR+ CD27- CD4+ T Cells,
HLA-DR+ median  :in:  HLA-DR+ CD4+ T Cells,MFI HLA-DR in HLA-DR+ CD4+ T Cells,
HLA-DR+ median  :in:  HLA-DR+ Double Negative T Cells,MFI HLA-DR in HLA-DR+ DN T Cells,
HLA-DR+ median  :in:  HLA-DR+ IgMlow IgD+ Naive B Cells,MFI HLA-DR in HLA-DR+ IgMlow IgD+ Naive B Cells,
HLA-DR+ median  :in:  HLA-DR+ Memory B Cells,MFI HLA-DR in HLA-DR+ Memory B Cells,
CD57+ median  :in:  CD57+ NKT Cells,MFI CD57 in CD57+ NKT Cells,
CD86+ median  :in:  CD86+ B Cells,MFI CD86 in CD86+ B Cells,
HLA-DR+ CD27- CD8+ T Cells :in: CD27- CD8+ T Cells,% HLA-DR+ of CD27- CD8+ T Cells,
CD40+ median  :in:  CD40+ IgM Memory B Cells,MFI CD40 in CD40+ IgM Memory B Cells,
CD86+ NKT Cells :in: NKT Cells,% CD86+ of NKT Cells,
CD86+ CD16+ NK Cells :in: CD16+ NK Cells,% CD86+ of CD16+ NK Cells,
CD86+ Non-Switched Memory B Cells :in: Non-Switched Memory B Cells,% CD86+ of Non-Switched Memory B Cells,
CD40+ median  :in:  CD40+ Dendritic Cells,MFI CD40 in CD40+ Dendritic Cells,
B Cells :in: Live Cells,% B Cells of Live Cells,
CD57+ CD27+ CD4+ T Cells :in: CD27+ CD4+ T Cells,% CD57+ of CD27+ CD4+ T Cells,
